student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S12787,UK,USA,Phoenix,Arizona State University,Design,Medicine,2017,Yes,Scholarship,2020,Placed,Tesla,72547,3.13,Student Visa,Post-Study Visa,IELTS,9.94
S12788,USA,Canada,Montreal,McGill University,Medicine,Engineering,2022,No,Political Stability,2026,Placed,Google,88571,2.93,Tier 4,OPT,GRE,7.28
S12789,Finland,South Africa,Johannesburg,University of the Witwatersrand,Economics,Engineering,2022,Yes,Political Stability,2024,Placed,Deloitte,69263,2.59,Student Visa,Blue Card,TOEFL,2.93
S12790,South Africa,Germany,Cologne,University of Cologne,Mechanical Engineering,Law,2020,No,Political Stability,2023,Placed,McKinsey,44719,2.16,Tier 4,Work Permit,GRE,4.82
S12791,Germany,Canada,Toronto,Ryerson University,Finance,Social Sciences,2014,Yes,Higher Ranking,2018,Placed,Goldman Sachs,41828,2.16,Schengen Student Visa,Blue Card,IELTS,9.2
S12792,UK,South Africa,Johannesburg,University of the Witwatersrand,Law,Law,2023,No,Scholarship,2026,Placed,Amazon,93460,3.03,J1,OPT,GRE,8.59
S12793,South Africa,Russia,Yekaterinburg,Ural Federal University,Business Administration,Business,2018,No,Higher Ranking,2020,Placed,Google,51470,2.23,Study Permit,PSW,PTE,6.25
S12794,UK,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Data Science,Computer Science,2022,Yes,Higher Ranking,2025,Placed,Amazon,93846,3.74,Schengen Student Visa,Work Permit,IELTS,6.41
S12795,USA,Germany,Munich,Ludwig Maximilian University of Munich,Finance,Computer Science,2021,Yes,Job Opportunities,2025,Placed,Tesla,60970,3.27,J1,Work Permit,IELTS,6.75
S12796,Ireland,USA,Houston,University of Houston,Civil Engineering,Medicine,2020,No,Quality of Life,2022,Placed,Goldman Sachs,33286,2.16,F1,Work Permit,PTE,8.05
S12797,Ireland,Finland,Helsinki,University of Helsinki,Political Science,Arts,2016,No,Quality of Life,2018,Placed,Siemens,75377,3.11,F1,PSW,Duolingo,7.54
S12798,UK,UAE,Fujairah,University of Fujairah,Design,Natural Sciences,2014,Yes,Quality of Life,2017,Placed,Google,95445,3.93,Student Visa,Work Permit,IELTS,7.5
S12799,Canada,UK,Manchester,University of Manchester,Political Science,Medicine,2023,Yes,Political Stability,2026,Placed,SAP,48951,2.57,Study Permit,Blue Card,GRE,8.34
S12800,UAE,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Civil Engineering,Social Sciences,2016,Yes,Political Stability,2022,Placed,IBM,45956,3.28,J1,Post-Study Visa,Duolingo,3.22
S12801,Finland,Germany,Hannover,Leibniz University Hannover,Architecture,Medicine,2022,No,Political Stability,2026,Placed,SAP,31186,3.82,Tier 4,PSW,TOEFL,8.86
S12802,Germany,Finland,Tampere,Tampere University,Medicine,Business,2020,Yes,Higher Ranking,2025,Placed,McKinsey,55153,3.76,J1,Work Permit,Duolingo,7.52
S12803,Finland,Finland,Tampere,Tampere University,Law,Arts,2014,No,Political Stability,2020,Placed,Intel,33849,2.35,Schengen Student Visa,Blue Card,Duolingo,2.96
S12804,India,UK,Coventry,Coventry University,Computer Science,Computer Science,2016,No,Higher Ranking,2019,Placed,Google,96935,2.57,Schengen Student Visa,PSW,Duolingo,2.53
S12805,UAE,South Africa,Cape Town,University of Cape Town,Computer Science,Computer Science,2022,No,Job Opportunities,2027,Placed,Goldman Sachs,37468,2.12,F1,Blue Card,PTE,8.96
S12806,India,USA,Chicago,Northwestern University,Economics,Law,2015,No,Job Opportunities,2019,Placed,IBM,87677,2.05,Study Permit,PSW,Duolingo,4.4
S12807,Finland,UAE,Fujairah,University of Fujairah,Architecture,Social Sciences,2017,Yes,Job Opportunities,2020,Placed,Apple,30392,3.5,Tier 4,PSW,Duolingo,7.86
S12808,Ireland,Germany,Stuttgart,University of Stuttgart,Computer Science,Arts,2019,Yes,Quality of Life,2021,Placed,Berkshire Hathaway,39112,2.28,Tier 4,PSW,GRE,8.97
S12809,India,Finland,Jyväskylä,University of Jyväskylä,Finance,Social Sciences,2020,No,Job Opportunities,2022,Placed,Nvidia,51777,3.09,Schengen Student Visa,PSW,Duolingo,3.42
S12810,USA,India,Pune,Symbiosis International University,Civil Engineering,Computer Science,2020,Yes,Job Opportunities,2022,Placed,IBM,64026,2.1,Tier 4,Post-Study Visa,IELTS,4.17
S12811,USA,USA,Chicago,Northwestern University,Mechanical Engineering,Social Sciences,2018,Yes,Quality of Life,2024,Placed,IBM,85070,3.97,J1,Blue Card,TOEFL,9.73
S12812,Germany,South Africa,Durban,University of KwaZulu-Natal,Mechanical Engineering,Computer Science,2017,Yes,Political Stability,2020,Placed,Apple,43254,3.25,Student Visa,PSW,IELTS,3.87
S12813,Finland,South Africa,Durban,University of KwaZulu-Natal,Biotechnology,Law,2017,Yes,Scholarship,2021,Placed,Amazon,82854,3.47,Schengen Student Visa,OPT,PTE,5.14
S12814,South Africa,Ireland,Dublin,Trinity College Dublin,Business Administration,Business,2017,No,Job Opportunities,2019,Placed,Deloitte,74585,2.83,J1,Work Permit,IELTS,6.61
S12815,India,Canada,Calgary,University of Calgary,Data Science,Law,2021,Yes,Higher Ranking,2025,Placed,Siemens,64985,3.48,Student Visa,PSW,TOEFL,9.72
S12816,South Africa,Canada,Ottawa,University of Ottawa,Law,Law,2022,Yes,Political Stability,2024,Placed,Shell,42106,2.86,Schengen Student Visa,Post-Study Visa,IELTS,6.75
S12817,South Africa,Germany,Cologne,University of Cologne,Computer Science,Natural Sciences,2017,Yes,Political Stability,2022,Placed,Intel,34749,2.1,Tier 4,Work Permit,GRE,5.2
S12818,Finland,Finland,Jyväskylä,University of Jyväskylä,Political Science,Law,2022,No,Job Opportunities,2027,Placed,Intel,57294,2.62,Student Visa,PSW,Duolingo,5.02
S12819,Germany,India,Lucknow,University of Lucknow,Finance,Law,2021,No,Job Opportunities,2023,Placed,Siemens,53179,3.98,Study Permit,Work Permit,TOEFL,7.53
S12820,South Africa,Germany,Essen,University of Duisburg-Essen,Psychology,Medicine,2022,No,Job Opportunities,2028,Placed,Goldman Sachs,35504,3.43,Schengen Student Visa,Work Permit,Duolingo,8.01
S12821,Ireland,Finland,Kuopio,University of Eastern Finland,Design,Arts,2016,No,Job Opportunities,2022,Placed,Google,70291,3.86,F1,Blue Card,TOEFL,4.43
S12822,South Africa,Finland,Helsinki,University of Helsinki,Mechanical Engineering,Computer Science,2019,No,Quality of Life,2025,Placed,Microsoft,88282,3.64,Student Visa,Blue Card,GRE,3.54
S12823,India,Canada,Montreal,Concordia University,Data Science,Business,2023,No,Political Stability,2029,Placed,Microsoft,93129,3.62,Study Permit,Post-Study Visa,GRE,7.11
S12824,Finland,Canada,Edmonton,University of Alberta,Biotechnology,Arts,2014,Yes,Scholarship,2018,Placed,Apple,79534,3.97,Schengen Student Visa,Post-Study Visa,IELTS,8.39
S12825,Germany,USA,San Diego,University of California San Diego,Business Administration,Natural Sciences,2018,No,Scholarship,2021,Placed,Intel,38578,2.9,Student Visa,Blue Card,GRE,7.52
S12826,UK,Germany,Stuttgart,University of Stuttgart,Political Science,Arts,2017,No,Higher Ranking,2019,Placed,Intel,60349,2.92,Schengen Student Visa,Work Permit,Duolingo,5.24
S12827,USA,South Africa,Cape Town,University of Cape Town,Political Science,Arts,2014,Yes,Higher Ranking,2017,Placed,SAP,90212,3.44,Student Visa,OPT,TOEFL,3.0
S12828,USA,India,Jaipur,Jaipur National University,Data Science,Law,2015,No,Quality of Life,2020,Placed,Microsoft,81921,3.16,Student Visa,PSW,GRE,5.47
S12829,UAE,USA,Philadelphia,Drexel University,Architecture,Medicine,2014,No,Job Opportunities,2018,Placed,Goldman Sachs,40154,3.61,Schengen Student Visa,OPT,GRE,2.64
S12830,Canada,USA,Los Angeles,University of Southern California,Electrical Engineering,Business,2022,No,Scholarship,2027,Placed,Intel,94682,3.19,Student Visa,PSW,Duolingo,6.97
S12831,Finland,Canada,Edmonton,MacEwan University,Mechanical Engineering,Medicine,2022,Yes,Scholarship,2025,Placed,IBM,75215,2.13,Schengen Student Visa,OPT,PTE,2.62
S12832,South Africa,USA,Phoenix,Arizona State University,Mechanical Engineering,Social Sciences,2015,No,Scholarship,2018,Placed,Apple,50659,3.58,Student Visa,Work Permit,TOEFL,9.16
S12833,Finland,USA,Los Angeles,"University of California, Los Angeles",Medicine,Social Sciences,2018,No,Job Opportunities,2023,Placed,Amazon,91503,3.2,J1,PSW,Duolingo,4.83
S12834,UK,Canada,Montreal,McGill University,Mechanical Engineering,Engineering,2019,No,Quality of Life,2022,Placed,Intel,38485,3.91,F1,PSW,PTE,9.37
S12835,Germany,Canada,Toronto,Ryerson University,Finance,Medicine,2015,No,Job Opportunities,2021,Placed,McKinsey,56901,2.65,J1,PSW,IELTS,8.46
S12836,South Africa,Russia,Chelyabinsk,South Ural State University,Computer Science,Medicine,2016,No,Higher Ranking,2019,Placed,Goldman Sachs,93174,2.52,Study Permit,Work Permit,GRE,6.31
S12837,South Africa,USA,New York,Columbia University,Economics,Social Sciences,2018,Yes,Higher Ranking,2023,Placed,Google,33725,2.15,Student Visa,Blue Card,IELTS,3.73
S12838,India,Russia,Moscow,Lomonosov Moscow State University,Civil Engineering,Engineering,2021,Yes,Scholarship,2025,Placed,Goldman Sachs,52491,2.85,J1,OPT,PTE,5.74
S12839,Finland,UK,Edinburgh,Heriot-Watt University,Finance,Engineering,2015,Yes,Quality of Life,2018,Placed,McKinsey,80124,3.38,Tier 4,Work Permit,PTE,9.3
S12840,South Africa,Finland,Oulu,University of Oulu,Mechanical Engineering,Law,2019,Yes,Higher Ranking,2021,Placed,Facebook,83742,2.81,F1,Blue Card,GRE,8.7
S12841,UK,Germany,Düsseldorf,Heinrich Heine University Düsseldorf,Design,Social Sciences,2017,Yes,Scholarship,2021,Placed,IBM,60225,2.94,Study Permit,Blue Card,IELTS,2.57
S12842,India,UAE,Dubai,University of Dubai,Biotechnology,Medicine,2016,Yes,Job Opportunities,2022,Placed,Microsoft,96384,2.7,Tier 4,OPT,TOEFL,6.5
S12843,Russia,USA,Phoenix,Arizona State University,Psychology,Medicine,2018,Yes,Scholarship,2021,Placed,McKinsey,90498,2.87,Tier 4,Blue Card,IELTS,3.13
S12844,India,UAE,Ajman,Ajman University,Finance,Social Sciences,2015,No,Scholarship,2017,Placed,Intel,73265,3.2,Tier 4,Blue Card,IELTS,9.14
S12845,South Africa,Germany,Essen,University of Duisburg-Essen,Law,Law,2014,Yes,Higher Ranking,2019,Placed,Nestle,73348,2.63,Student Visa,OPT,Duolingo,8.2
S12846,Finland,Ireland,Cork,University College Cork,Civil Engineering,Law,2015,No,Higher Ranking,2020,Placed,Google,43857,2.32,J1,OPT,IELTS,2.64
S12847,UK,Russia,Kazan,Kazan Federal University,Business Administration,Medicine,2017,No,Political Stability,2022,Placed,Microsoft,54883,2.12,Study Permit,PSW,PTE,9.43
S12848,UK,Russia,Yekaterinburg,Ural Federal University,Biotechnology,Business,2020,No,Higher Ranking,2025,Placed,Google,30724,2.62,Schengen Student Visa,Work Permit,TOEFL,3.79
S12849,India,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Design,Computer Science,2023,No,Higher Ranking,2027,Placed,Facebook,51716,2.34,Student Visa,OPT,IELTS,6.22
S12850,Ireland,India,Pune,Symbiosis International University,Biotechnology,Medicine,2021,No,Scholarship,2025,Placed,IBM,58285,3.03,Study Permit,OPT,PTE,4.86
S12851,South Africa,South Africa,Johannesburg,University of Johannesburg,Mechanical Engineering,Natural Sciences,2023,Yes,Higher Ranking,2025,Placed,Deloitte,93118,2.87,Tier 4,Work Permit,GRE,8.2
S12852,Germany,Finland,Kuopio,University of Eastern Finland,Psychology,Computer Science,2015,No,Quality of Life,2020,Placed,IBM,78283,3.64,J1,Work Permit,PTE,8.25
S12853,South Africa,Finland,Turku,University of Turku,Computer Science,Medicine,2023,Yes,Quality of Life,2028,Placed,Google,77223,2.98,Student Visa,Blue Card,PTE,9.72
S12854,India,USA,Chicago,Northwestern University,Business Administration,Social Sciences,2020,No,Higher Ranking,2022,Placed,SAP,64493,2.71,Schengen Student Visa,Post-Study Visa,TOEFL,8.3
S12855,Ireland,UK,Liverpool,University of Liverpool,Psychology,Computer Science,2018,No,Job Opportunities,2021,Placed,Google,69439,3.66,Tier 4,Work Permit,PTE,6.67
S12856,Germany,UK,Glasgow,University of Glasgow,Political Science,Medicine,2023,No,Job Opportunities,2025,Placed,Apple,80644,2.94,J1,OPT,GRE,9.33
S12857,India,UAE,Dubai,University of Dubai,Data Science,Computer Science,2019,No,Political Stability,2022,Placed,McKinsey,98157,3.11,Study Permit,Post-Study Visa,Duolingo,4.02
S12858,Finland,UK,Leicester,University of Leicester,Design,Social Sciences,2022,Yes,Quality of Life,2026,Placed,Microsoft,35247,3.97,J1,Work Permit,GRE,3.53
S12859,UAE,India,Chennai,Indian Institute of Technology Madras,Mechanical Engineering,Business,2021,No,Job Opportunities,2024,Placed,Intel,96919,3.6,Schengen Student Visa,Blue Card,Duolingo,8.37
S12860,Russia,Russia,Chelyabinsk,South Ural State University,Computer Science,Social Sciences,2022,Yes,Quality of Life,2027,Placed,Goldman Sachs,76728,3.77,J1,OPT,TOEFL,7.08
S12861,USA,Canada,Quebec City,Université Laval,Architecture,Natural Sciences,2015,No,Scholarship,2017,Placed,SAP,34561,2.59,Student Visa,Post-Study Visa,TOEFL,6.25
S12862,USA,UK,Manchester,University of Manchester,Civil Engineering,Medicine,2022,No,Quality of Life,2027,Placed,Berkshire Hathaway,47089,3.64,Tier 4,Work Permit,TOEFL,8.52
S12863,Ireland,India,Kolkata,University of Calcutta,Architecture,Medicine,2015,Yes,Job Opportunities,2021,Placed,Intel,62820,3.42,F1,Blue Card,IELTS,5.97
S12864,Germany,Finland,Lahti,Lahti University of Applied Sciences,Political Science,Arts,2017,No,Scholarship,2020,Placed,Facebook,42782,3.72,Tier 4,PSW,PTE,9.01
S12865,India,UAE,Dubai,American University in Dubai,Economics,Natural Sciences,2019,Yes,Political Stability,2022,Placed,Microsoft,78283,3.64,Tier 4,PSW,GRE,9.47
S12866,UAE,Germany,Cologne,University of Cologne,Economics,Business,2023,Yes,Quality of Life,2028,Placed,Siemens,50687,2.52,Student Visa,PSW,PTE,6.34
S12867,India,India,Chennai,University of Madras,Medicine,Social Sciences,2019,No,Job Opportunities,2024,Placed,Deloitte,85608,2.71,Schengen Student Visa,OPT,GRE,9.03
S12868,India,India,Pune,Symbiosis International University,Design,Law,2016,Yes,Quality of Life,2022,Placed,IBM,89992,3.27,Study Permit,Work Permit,IELTS,7.56
S12869,UK,India,Kolkata,Jadavpur University,Design,Medicine,2021,No,Higher Ranking,2023,Placed,Goldman Sachs,72646,3.8,F1,OPT,IELTS,8.6
S12870,India,Canada,Calgary,University of Calgary,Civil Engineering,Medicine,2017,Yes,Quality of Life,2023,Placed,Microsoft,34748,2.3,Schengen Student Visa,Blue Card,PTE,8.11
S12871,Russia,Ireland,Limerick,University of Limerick,Architecture,Computer Science,2019,No,Scholarship,2024,Placed,Facebook,43833,2.33,J1,Post-Study Visa,IELTS,7.76
S12872,UK,India,Kolkata,University of Calcutta,Electrical Engineering,Medicine,2020,No,Higher Ranking,2022,Placed,Intel,70227,2.17,Tier 4,Post-Study Visa,TOEFL,8.73
S12873,Finland,India,Lucknow,University of Lucknow,Psychology,Business,2022,Yes,Quality of Life,2026,Placed,Microsoft,99152,2.87,Student Visa,Work Permit,Duolingo,5.48
S12874,Germany,Ireland,Galway,National University of Ireland Galway,Civil Engineering,Business,2023,No,Political Stability,2025,Placed,Amazon,88498,3.51,Schengen Student Visa,OPT,TOEFL,7.99
S12875,Ireland,USA,Phoenix,Arizona State University,Data Science,Natural Sciences,2014,Yes,Job Opportunities,2018,Placed,Facebook,79783,3.3,J1,Blue Card,TOEFL,8.22
S12876,USA,India,Pune,Symbiosis International University,Civil Engineering,Arts,2014,Yes,Quality of Life,2020,Placed,Saudi Aramco,35729,2.53,F1,Blue Card,PTE,7.92
S12877,Germany,Finland,Kuopio,University of Eastern Finland,Finance,Law,2019,No,Quality of Life,2025,Placed,Goldman Sachs,42042,2.02,Student Visa,OPT,GRE,9.18
S12878,Canada,Russia,Chelyabinsk,South Ural State University,Medicine,Law,2016,Yes,Scholarship,2021,Placed,SAP,69650,3.41,Student Visa,Work Permit,PTE,6.38
S12879,UAE,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Biotechnology,Medicine,2018,No,Higher Ranking,2023,Placed,Facebook,81888,2.31,F1,OPT,TOEFL,2.3
S12880,Russia,Germany,Berlin,Humboldt University of Berlin,Design,Arts,2019,No,Political Stability,2024,Placed,Intel,51551,3.24,Study Permit,Work Permit,GRE,4.28
S12881,Russia,Canada,Calgary,University of Calgary,Civil Engineering,Natural Sciences,2021,No,Job Opportunities,2025,Placed,Google,87120,2.09,Tier 4,OPT,TOEFL,9.27
S12882,Finland,India,Hyderabad,University of Hyderabad,Civil Engineering,Engineering,2015,No,Quality of Life,2018,Placed,Deloitte,54912,2.97,Tier 4,Blue Card,PTE,6.96
S12883,UAE,Russia,Novosibirsk,Novosibirsk State University,Finance,Law,2017,No,Political Stability,2019,Placed,Microsoft,44385,2.29,F1,Post-Study Visa,Duolingo,3.39
S12884,Canada,Finland,Helsinki,University of Helsinki,Finance,Arts,2014,Yes,Political Stability,2017,Placed,IBM,86648,2.23,Study Permit,Work Permit,PTE,2.31
S12885,Russia,USA,Los Angeles,University of Southern California,Law,Engineering,2021,No,Higher Ranking,2024,Placed,Amazon,30539,2.51,F1,Blue Card,Duolingo,7.98
S12886,India,Ireland,Westport,National University of Ireland Galway,Biotechnology,Natural Sciences,2018,No,Scholarship,2024,Placed,Facebook,65564,2.85,J1,Post-Study Visa,TOEFL,8.81
S12887,Ireland,Ireland,Cork,University College Cork,Design,Natural Sciences,2015,No,Quality of Life,2020,Placed,Siemens,93850,2.18,J1,PSW,IELTS,9.17
S12888,South Africa,Germany,Stuttgart,University of Stuttgart,Law,Arts,2014,No,Political Stability,2019,Placed,Goldman Sachs,52255,2.68,Study Permit,OPT,PTE,4.94
S12889,Germany,South Africa,Nelspruit,University of Mpumalanga,Political Science,Medicine,2015,Yes,Political Stability,2021,Placed,SAP,78307,3.82,Schengen Student Visa,Post-Study Visa,IELTS,3.03
S12890,USA,Russia,Chelyabinsk,South Ural State University,Design,Engineering,2022,No,Higher Ranking,2026,Placed,IBM,62878,3.5,Study Permit,Work Permit,TOEFL,8.36
S12891,Canada,Germany,Berlin,Humboldt University of Berlin,Civil Engineering,Computer Science,2015,No,Quality of Life,2018,Placed,Amazon,51253,3.34,F1,Blue Card,PTE,4.22
S12892,Germany,Russia,Novosibirsk,Novosibirsk State University,Civil Engineering,Natural Sciences,2016,No,Scholarship,2018,Placed,McKinsey,78310,2.16,Schengen Student Visa,Work Permit,PTE,4.47
S12893,Finland,UK,Leeds,University of Leeds,Biotechnology,Engineering,2022,No,Political Stability,2025,Placed,Amazon,32018,3.96,Tier 4,Post-Study Visa,IELTS,8.69
S12894,UK,Finland,Kuopio,University of Eastern Finland,Business Administration,Arts,2018,No,Job Opportunities,2022,Placed,Microsoft,55161,2.82,Tier 4,Work Permit,TOEFL,2.54
S12895,India,Russia,Novosibirsk,Novosibirsk State University,Law,Engineering,2020,No,Higher Ranking,2025,Placed,Tesla,84425,2.0,Student Visa,OPT,TOEFL,5.16
S12896,Canada,USA,Chicago,University of Chicago,Electrical Engineering,Business,2022,No,Job Opportunities,2027,Placed,Toyota,70688,2.06,Study Permit,Post-Study Visa,PTE,6.16
S12897,Finland,Canada,Vancouver,Simon Fraser University,Political Science,Business,2022,Yes,Job Opportunities,2026,Placed,Saudi Aramco,67781,3.24,Tier 4,Work Permit,IELTS,7.41
S12898,Ireland,Russia,Yekaterinburg,Ural Federal University,Law,Engineering,2021,No,Higher Ranking,2027,Placed,Microsoft,67121,2.91,Tier 4,Post-Study Visa,IELTS,4.36
S12899,Russia,India,Delhi,University of Delhi,Law,Law,2015,Yes,Scholarship,2017,Placed,Amazon,38404,3.0,Schengen Student Visa,Work Permit,IELTS,4.09
S12900,Russia,Finland,Lahti,Lahti University of Applied Sciences,Civil Engineering,Business,2018,No,Quality of Life,2020,Placed,SAP,77668,3.06,F1,OPT,TOEFL,8.47
S12901,Germany,Ireland,Killarney,Killarney Community College,Economics,Law,2015,No,Job Opportunities,2020,Placed,Goldman Sachs,55542,3.31,Study Permit,Post-Study Visa,GRE,4.02
S12902,Finland,Russia,Novosibirsk,Novosibirsk State University,Mechanical Engineering,Business,2017,No,Political Stability,2019,Placed,SAP,73845,3.81,J1,Work Permit,GRE,6.98
S12903,Ireland,Germany,Frankfurt,Goethe University Frankfurt,Economics,Business,2017,Yes,Scholarship,2019,Placed,IBM,71650,2.9,Tier 4,Work Permit,GRE,6.87
S12904,Canada,South Africa,Nelspruit,University of Mpumalanga,Computer Science,Business,2017,No,Political Stability,2022,Placed,Goldman Sachs,76674,2.27,Student Visa,PSW,PTE,2.79
S12905,USA,Russia,Moscow,Lomonosov Moscow State University,Medicine,Natural Sciences,2016,Yes,Quality of Life,2020,Placed,Microsoft,42800,3.34,Student Visa,Work Permit,GRE,5.68
S12906,USA,India,Lucknow,University of Lucknow,Data Science,Law,2018,Yes,Quality of Life,2020,Placed,Amazon,80906,2.45,Schengen Student Visa,Work Permit,TOEFL,8.93
S12907,Germany,Canada,Quebec City,Université Laval,Economics,Business,2023,Yes,Job Opportunities,2027,Placed,Tesla,30499,2.28,J1,OPT,GRE,2.11
S12908,South Africa,USA,Houston,Rice University,Medicine,Medicine,2017,Yes,Political Stability,2019,Placed,Deloitte,87990,2.63,Study Permit,Work Permit,PTE,7.54
S12909,Canada,Canada,Vancouver,Simon Fraser University,Computer Science,Social Sciences,2021,Yes,Job Opportunities,2023,Placed,McKinsey,50564,2.06,Tier 4,Post-Study Visa,PTE,9.58
S12910,Germany,South Africa,Cape Town,Cape Peninsula University of Technology,Psychology,Law,2019,Yes,Quality of Life,2024,Placed,Deloitte,72451,2.59,Study Permit,Post-Study Visa,PTE,9.36
S12911,Canada,Germany,Düsseldorf,Heinrich Heine University Düsseldorf,Law,Computer Science,2021,No,Scholarship,2023,Placed,Amazon,45101,2.5,J1,PSW,PTE,3.66
S12912,India,India,Hyderabad,Osmania University,Electrical Engineering,Medicine,2020,Yes,Higher Ranking,2026,Placed,Siemens,57559,3.25,Schengen Student Visa,Post-Study Visa,IELTS,7.71
S12913,Ireland,India,Mumbai,Indian Institute of Technology Bombay,Economics,Computer Science,2018,No,Quality of Life,2024,Placed,Apple,51339,3.03,Tier 4,PSW,GRE,3.37
S12914,Finland,Ireland,Cork,University College Cork,Architecture,Arts,2021,No,Quality of Life,2023,Placed,Apple,90110,2.98,F1,OPT,Duolingo,4.77
S12915,Ireland,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Architecture,Medicine,2019,Yes,Higher Ranking,2021,Placed,SAP,63896,3.98,Tier 4,Post-Study Visa,Duolingo,2.61
S12916,Russia,Ireland,Limerick,University of Limerick,Data Science,Arts,2015,Yes,Quality of Life,2020,Placed,Tesla,80784,2.57,J1,OPT,IELTS,7.14
S12917,Ireland,UAE,Sharjah,American University of Sharjah,Electrical Engineering,Arts,2018,Yes,Job Opportunities,2022,Placed,Samsung,33199,3.53,Schengen Student Visa,Post-Study Visa,Duolingo,8.43
S12918,Finland,UAE,Sharjah,American University of Sharjah,Economics,Social Sciences,2014,No,Political Stability,2017,Placed,Deloitte,76973,3.95,F1,Post-Study Visa,IELTS,6.7
S12919,UAE,USA,San Antonio,University of Texas at San Antonio,Law,Business,2014,Yes,Political Stability,2018,Placed,Facebook,33181,2.15,Study Permit,Blue Card,PTE,7.45
S12920,Germany,UK,Sheffield,University of Sheffield,Mechanical Engineering,Engineering,2020,No,Political Stability,2023,Placed,Google,79388,3.13,F1,Post-Study Visa,IELTS,9.37
S12921,Canada,India,Pune,Symbiosis International University,Political Science,Computer Science,2014,No,Political Stability,2016,Placed,SAP,67052,2.78,Schengen Student Visa,Work Permit,Duolingo,4.47
S12922,UAE,UAE,Abu Dhabi,New York University Abu Dhabi,Computer Science,Social Sciences,2018,No,Higher Ranking,2024,Placed,Microsoft,32621,2.55,F1,PSW,TOEFL,9.75
S12923,South Africa,USA,Houston,Rice University,Medicine,Natural Sciences,2021,Yes,Higher Ranking,2023,Placed,IBM,51114,2.3,Study Permit,Blue Card,IELTS,2.63
S12924,Finland,UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Computer Science,Arts,2015,Yes,Political Stability,2020,Placed,SAP,30337,2.75,J1,Post-Study Visa,GRE,2.46
S12925,Finland,Russia,Kazan,Kazan Federal University,Finance,Natural Sciences,2022,No,Job Opportunities,2027,Placed,Samsung,64357,2.66,F1,Blue Card,IELTS,9.02
S12926,Germany,USA,San Diego,San Diego State University,Mechanical Engineering,Social Sciences,2021,Yes,Job Opportunities,2027,Placed,IBM,54123,2.73,F1,PSW,IELTS,3.79
S12927,USA,Germany,Berlin,Technical University of Berlin,Data Science,Computer Science,2017,Yes,Scholarship,2022,Placed,SAP,84626,3.48,Tier 4,PSW,Duolingo,8.73
S12928,Germany,Finland,Turku,Åbo Akademi University,Medicine,Engineering,2016,Yes,Higher Ranking,2021,Placed,Google,46493,3.87,J1,Post-Study Visa,IELTS,5.77
S12929,Ireland,Ireland,Galway,National University of Ireland Galway,Design,Engineering,2018,Yes,Scholarship,2024,Placed,Facebook,31011,3.42,Student Visa,Post-Study Visa,Duolingo,7.06
S12930,Canada,Germany,Frankfurt,Goethe University Frankfurt,Psychology,Computer Science,2017,No,Political Stability,2019,Placed,Intel,74565,2.65,Study Permit,OPT,Duolingo,8.0
S12931,Russia,Canada,Montreal,Concordia University,Civil Engineering,Social Sciences,2020,No,Political Stability,2022,Placed,Amazon,55120,3.14,Student Visa,PSW,GRE,8.15
S12932,Ireland,South Africa,Bloemfontein,University of the Free State,Computer Science,Business,2018,Yes,Quality of Life,2022,Placed,Intel,33787,2.42,J1,Blue Card,TOEFL,7.18
S12933,India,USA,San Diego,San Diego State University,Electrical Engineering,Engineering,2018,Yes,Higher Ranking,2020,Placed,Siemens,48527,2.94,Tier 4,Work Permit,Duolingo,9.84
S12934,USA,Russia,Moscow,Bauman Moscow State Technical University,Biotechnology,Social Sciences,2014,No,Political Stability,2018,Placed,Facebook,47239,3.06,Study Permit,Post-Study Visa,PTE,6.39
S12935,Germany,Canada,Vancouver,Capilano University,Political Science,Natural Sciences,2019,No,Political Stability,2023,Placed,Deloitte,78212,3.48,Tier 4,Post-Study Visa,Duolingo,9.83
S12936,South Africa,Finland,Helsinki,University of Helsinki,Biotechnology,Computer Science,2020,No,Political Stability,2025,Placed,IBM,98739,2.38,Tier 4,Blue Card,TOEFL,6.21
S12937,Canada,UAE,Ajman,Ajman University,Political Science,Computer Science,2021,No,Scholarship,2024,Placed,Amazon,31987,2.69,Student Visa,Work Permit,Duolingo,8.56
S12938,USA,UAE,Umm Al Quwain,British University in Dubai,Computer Science,Computer Science,2018,No,Political Stability,2020,Placed,Microsoft,87421,3.98,Student Visa,PSW,IELTS,6.23
S12939,South Africa,India,Pune,Savitribai Phule Pune University,Political Science,Medicine,2022,Yes,Political Stability,2025,Placed,Apple,33762,2.35,J1,Post-Study Visa,GRE,4.92
S12940,Canada,Finland,Oulu,University of Oulu,Economics,Arts,2016,Yes,Political Stability,2021,Placed,IBM,30675,2.26,Schengen Student Visa,Work Permit,IELTS,2.34
